URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/action-participant-function,5.0.0,draft,"2.16.840.1.113883.4.642.3.3052",ActionParticipantFunction,Action Participant Function,"The function performed by the participant for the action.","StructureDefinition/openimis-activity-definition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/action-participant-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.794,2.16.840.1.113883.4.642.3.811",ActionParticipantType,Action Participant Type,"The type of participant for the action.","StructureDefinition/openimis-activity-definition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/address-type,5.0.0,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/openimis-health-facility-organization,StructureDefinition/group-address,StructureDefinition/openimis-insurance-organization,StructureDefinition/openimis-patient,StructureDefinition/openimis-enrolment-officer-practitioner,StructureDefinition/openimis-policy-holder-organization","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/address-use,5.0.0,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/openimis-health-facility-organization,StructureDefinition/group-address,StructureDefinition/openimis-insurance-organization,StructureDefinition/openimis-patient,StructureDefinition/openimis-enrolment-officer-practitioner,StructureDefinition/openimis-policy-holder-organization","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/adjudication-error,5.0.0,draft,"2.16.840.1.113883.4.642.3.39",AdjudicationErrorCodes,Adjudication Error Codes,"This value set includes a smattering of adjudication codes.","StructureDefinition/openimis-claim-response,StructureDefinition/openimis-coverage-eligibility-response","THO"
http://hl7.org/fhir/ValueSet/adjudication-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.598,2.16.840.1.113883.4.642.3.590",AdjudicationReasonCodes,Adjudication Reason Codes,"This value set includes smattering of Adjudication Reason codes.","StructureDefinition/openimis-claim-response","THO"
http://hl7.org/fhir/ValueSet/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/openimis-patient,StructureDefinition/openimis-enrolment-officer-practitioner,StructureDefinition/openimis-claim-administrator-practitioner","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/openimis-insurance-organization,StructureDefinition/openimis-invoice-bill,StructureDefinition/openimis-contract,StructureDefinition/openimis-payment-notice,StructureDefinition/openimis-enrolment-officer-practitioner,StructureDefinition/openimis-policy-holder-organization,StructureDefinition/openimis-enrolment-officer-practitioner-role,StructureDefinition/openimis-coverage-eligibility-request,StructureDefinition/openimis-subscription,StructureDefinition/openimis-medication,StructureDefinition/openimis-group,StructureDefinition/openimis-claim,StructureDefinition/openimis-coverage,StructureDefinition/openimis-health-facility-organization,StructureDefinition/openimis-communication-request,StructureDefinition/openimis-insurance-plan,StructureDefinition/openimis-patient,StructureDefinition/openimis-coverage-eligibility-response,StructureDefinition/openimis-claim-response,StructureDefinition/openimis-location,StructureDefinition/openimis-activity-definition,StructureDefinition/openimis-invoice-invoice,StructureDefinition/openimis-claim-administrator-practitioner-role,StructureDefinition/openimis-claim-administrator-practitioner,StructureDefinition/openimis-communication","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/all-resource-types,5.0.0,active,"2.16.840.1.113883.4.642.3.3294",AllResourceTypes,All Resource Types,"All fhir resource types (including abstract resources)","StructureDefinition/openimis-subscription","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/asset-availability,5.0.0,draft,"2.16.840.1.113883.4.642.3.1295",ContractResourceAssetAvailiabilityCodes,Contract Resource Asset Availiability codes,"This value set has asset availability codes.","StructureDefinition/openimis-contract","hl7.fhir.r5.core"
