URL,Version,Status,OIDs,Name,Title,Description,Used
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/activity-definition-level,0.1.0,draft,,ActivityDefinitionLevelCS,Level (ActivityDefinition),"Indicates the Level for an ActivityDefinition. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/activity-definition-service-type,0.1.0,draft,,ActivityDefinitionServiceTypeCS,Service Type (ActivityDefinition),"Indicates the Service Type for an ActivityDefinition. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/activity-definition-usage-context-workflow-type,0.1.0,draft,,ActivityDefinitionUsageContextWorkflowTypeCS,Usage Context for Workflow Type (ActivityDefinition),"Indicates the Usage Context for Workflow Type for an ActivityDefinition. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/bill-charge-item,0.1.0,draft,,BillChargeItemCS,ChargeItem (Bill Invoice),"Indicates the ChargeItem for a lineItem from a Bill. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/bill-type,0.1.0,draft,,BillTypeCS,Type (Bill Invoice),"Indicates the Type for Bill. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/claim-item-category,0.1.0,draft,,ClaimItemCategoryCS,Category of the item (Claim),"Indicates the category for the item under a Claim. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/claim-rejection-reasons,0.1.0,draft,,ClaimRejectionReasonsCS,Rejection Reasons (Claim),"Indicates the rejection reason of an item from a Claim.  Values limited by openIMIS.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/claim-status,0.1.0,draft,,ClaimStatusCS,Status of the claim (Claim|ClaimResponse),"Indicates the status of the Claim. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/claim-supporting-info-category,0.1.0,draft,,ClaimSupportingInfoCategoryCS,Category of the supporting info (Claim),"Indicates the category for the supportiong info under a Claim. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/claim-visit-type,0.1.0,draft,,ClaimVisitTypeCS,Visit Type (Claim),"Indicates the visit type of the Claim.  Values limited by openIMIS.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/contract-premium-category,0.1.0,draft,,ContractPremiumCategoryCS,Premium Category (Contract),"Indicates the category of the premium for the Contract. Cannot be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/contract-premium-payer,0.1.0,draft,,ContractPremiumPayerCS,Premium Payer (Contract),"Indicates the payer of the premium for the Contract. Can be extended in openIMIS. Need to match openIMIS database payer list.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/contract-premium-type,0.1.0,draft,,ContractPremiumTypeCS,Premium Type (Contract),"Indicates the type of the premium for the Contract. Cannot be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/contract-resource-party-role,0.1.0,draft,,ContractResourcePartyRoleCS,Resource Party Role (Contract),"Indicates the participant engagement type for the Contract term.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/contract-scope,0.1.0,draft,,ContractScopeCS,Scope (Contract),"Indicates the scope for the Contract. Values defined by openIMIS. Cannot be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/coverage-item-benefit-type,0.1.0,draft,,CoverageItemBenefitTypeCS,Type of benefit (Coverage),"Indicates the type of benefit under a Coverage. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/coverage-item-category,0.1.0,draft,,CoverageItemCategoryCS,Category of the item (Coverage),"Indicates the category for the item under a Coverage. Values defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/diagnosis-ICD10-level1,0.1.0,draft,,DiagnosisICD10Level1CS,ICD 10 Level 1 diagnosis (Claim),"Example of diagnosis to be used with Claim resource. The actual list is configured in openIMIS.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/feedback-payload,0.1.0,draft,,FeedbackPayloadCS,Feedback Payload (CommunicationRequest | Communication),"Indicates the Feedback Payload code for a CommunicationRequest and Communication. List defined by openIMIS. Can not be extended.",
https://github.com/openimis/openimis_fhir_r5_ig/CodeSystem/feedback-status,0.1.0,draft,,FeedbackStatusCS,Feedback Status (CommunicationRequest),"Indicates the Feedback Status for a CommunicationRequest. Partial list defined by openIMIS. Can not be extended.",
